description,category
bhai petrol bharwaya - Ikea,home
House Rent - security deposit for rent,rent
late fee payment,bills
Bikeman Garage - engine oil change at Bikeman Garage,auto
renewed subscription - YouTube Premium bought because needed,subscription
cleartrip - flight tickt to delhi,travel
security deposit for rent,rent
Cleartrip ride to airport,travel
pharmacy - antibiotics paid for,health
Udemy,education
Croma,electronics
doctor consult - fever,health
Uber - train booking via IRCTC,travel
doctor consult,health
Local Mall online - summer dress,shopping
bonus credited purchased from nearby store,salary
water bill payment,utilities
mobile postpaid bill Jio,utilities
bus ticket to city ordered online,travel
gift box chocolates,gifts
Local Home Store - floor cleaner and mop,home
late fee payment,bills
membership renewal Amazon Prime paid for,subscription
NEFT - upi payment,finance
internet recharge via Water Supply - Rs 299,utilities
took ola share - ordered power bank from Croma,electronics
stationery purchase at Stationery Shop purchased from nearby store,education
birthday gift for friend got it during sale,gifts
PVR - ott subscription rental,entertainment
anti ageing serum purchase purchased from nearby store,personal_care
Car Service Center - petrol full tank got it during sale,auto
Udemy,education
anti ageing serum purchase - Rs 150,personal_care
car wash and cleaning,auto
refund from amazon - Local Home Store - new bedsheet purchase from Local Home Store,home
sephora - sunscreem spf 50,personal_care
Sephora - sunscreen spf 50,personal_care
Electricity Board electricity bill - Rs 999,utilities
new bedsheet purchase from Home Centre paid for,home
engine oil change at Shell Fuel,auto
MakeMyTrip ride to airport,travel
mumma grocery - Beauty Store - anti ageing serum purchase,personal_care
Food Stall order - burger and fries purchased from nearby store,food
loan EMI deduction paid for - Rs 299,bills
upi payment,finance
late night snack from KFC - Rs 150,food
Amazon - USB-C cable,electronics
KFC - late night snack from KFC,food
ordered power bank from Samsung Shop ordered online,electronics
Zara,shopping
engine oil change at Shell Fuel - Rs 299,auto
lab test at Apollo Pharmacy bought because needed,health
HP Petrolpump - petrol full tank,auto
Udemy - exam form fee,education
college canteen maggi - bread,groceries
home decor items bought for home use,home
anniversary gift shopping ordered online,gifts
Shell Fuel - bike service at Shell Fuel,auto
new bedsheet purchase from Ikea,home
credit card repayment - Rs 999,bills
ott subscriptn rental got it during sale,entertainment
membership renewal YouTube Premium purchased from nearby store,subscription
mumma grocery - H&M - sneakers purchase - Rs 199,shopping
credit card repayment,bills
membership renewal Amazon Prime - Rs 299,subscription
new backpack from Zara bought because needed,shopping
fruits and veg purchase at Local Kirana,groceries
Spotify - Spotify annual plan,subscription
train booking via IRCTC,travel
Steam - game purchase on Steam,entertainment
stationery purchase at Udemy purchased from nearby store,education
Dominos order,food
college fee payment purchased from nearby store,education
Car Service Center - bike service at Car Service Center,auto
Ajio - sneakers purchase,shopping
bought T-shirt from Ajio paid for,shopping
bought flowers from Godrej Gift,gifts
renewed subscription - Netflix,subscription
water bill payment ordered online,utilities
loan EMI deduction,bills
Local Home Store - floor cleaner and mop got it during sale,home
birthday gift for friend,gifts
House Rent - security deposit for rent,rent
flight ticket to delhi - Rs 100,travel
bought T-shirt from Lifestyle got it during sale,shopping
bike service at Car Service Center,auto
concert ticket booking purchased from nearby store,entertainment
Croma,electronics
pharmacy - antibiotics paid for - Rs 999,health
renewed subscription,subscription
ordered power bank from Croma paid for,electronics
paid bhaiya for delivery - apartment rent monthly,rent
emi deducted - face wash and moisturizer from Beauty Store,personal_care
"Local Kirana - milk, eggs, vegetables paid for",groceries
stationery purchase at Coursera,education
TataCliq,electronics
security deposit for rent,rent
security deposit for rent purchased from nearby store - Rs 150,rent
Reliance Digital,electronics
face wash and moisturizer from Beauty Store purchased from nearby store,personal_care
college fee payment,education
Lifestyle - sneakers purchase,shopping
Gift Shop - gift box chocolates,gifts
late night snack from Cafe Coffee Day got it during sale,food
Godrej Gift - bought flowers from Godrej Gift,gifts
Spotify - membership renewal Spotify - Rs 199,subscription
concert ticket booking,entertainment
security deposit for rent paid for,rent
ott subscription rental purchased from nearby store,entertainment
birthday gift for friend bought for home use - Rs 100,gifts
stationery purchase at Udemy,education
birthday gift for friend paid for,gifts
Udemy - exam form fee,education
Amazon Prime monthly subscription got it during sale,subscription
membership renewal Amazon Prime ordered online,subscription
Amazon Prime annual plan,subscription
Cafe Coffee Day - late night snack from Cafe Coffee Day,food
train booking via IRCTC purchased from nearby store,travel
maintenance charges for flat paid for,bills
upi payment,finance
fruits and veg purchase at Big Bazaar bought for home use,groceries
bought T-shirt from Zara - Rs 199,shopping
mobile postpaid bill Jio bought for home use - Rs 150,utilities
KFC order,food
engine oil change at Bikeman Garage,auto
monthly groceries from Spencer's,groceries
City Hospital,health
YouTube Premium monthly subscription paid for,subscription
Samsung Shop,electronics
Jio electricity bill - Rs 999,utilities
birthday gift for friend got it during sale,gifts
late night snack from Pizza Hut ordered online,food
invoice paid - Rs 249,salary
birthday gift for friend,gifts
Swiggy order,food
bike service at HP Petrolpump,auto
lab test at Apollo Pharmacy purchased from nearby store - Rs 50,health
H&M - sneakers purchase,shopping
Mi Store - USB-C cable bought for home use,electronics
Reliance Digital - tempered glass screen protector,electronics
upi payment,finance
Flower Store - bought flowers from Flower Store,gifts
ott subscription rental paid for,entertainment
apartment rent monthly bought for home use,rent
concert ticket booking,entertainment
flight tickt to delhi,travel
Ola - bus ticket to city,travel
mumma grocery - Stationery Shop - stationery purchase at Stationery Shop,education
late night snack from McDonald's,food
birthday gift for friend,gifts
anniversary gift shopping,gifts
Amazon purchase - bluetooth headphone,electronics
dinner at Pizza Hut with friends,food
water bill payment ordered online,utilities
Croma - USB-C cable,electronics
dinner at Swiggy with friends,food
fruits and veg purchase at Spencer's purchased from nearby store,groceries
HP Petrolpump - car wash and cleaning,auto
Flipkart - tempered glass screen protector,electronics
College Fee - stationery purchase at College Fee,education
"bread, butter, cereal from Spencer's bought for home use",groceries
Maintenance - maintenance charges for flat,bills
breakfast - paratha and chai - Rs 199,food
new bedsheet purchase from Ikea purchased from nearby store,home
Nykaa - anti ageing serum purchase - Rs 499,personal_care
Apollo Pharmacy - paracetamol and vitamins,health
perfume Local Pharmacy,personal_care
doctor consult,health
fruits and veg purchase at Reliance Fresh - Rs 249,groceries
upi payment paid for,finance
exam form fee ordered online,education
late night snack from Local Dhabha,food
salary credited - ACME Corp,salary
Stationery Shop - college fee payment,education
Amazon - USB-C cable,electronics
Sephora - face wash and moisturizer from Sephora,personal_care
college fee payment,education
train booking via IRCTC ordered online,travel
PVR - game purchase on PVR,entertainment
internet recharge via Water Supply paid for,utilities
"Nature's Basket - milk, eggs, vegetables",groceries
Beauty Store - face wash and moisturizer from Beauty Store,personal_care
flight ticket to delhi purchased from nearby store,travel
game purchase on BookMyShow got it during sale,entertainment
Reliance Fresh - fruits and veg purchase at Reliance Fresh,groceries
monthly groceries from Local Kirana,groceries
home decor items,home
invoice paid - Upwork,salary
membership renewal Amazon Prime,subscription
Car Service Center - car wash and cleaning - Rs 100,auto
mobile postpaid bill BSNL purchased from nearby store,utilities
paid bhaiya for delivery - water bill payment,utilities
Lifestyle - sneakers purchase,shopping
breakfast,food
Sephora - anti ageing serum purchase,personal_care
late fee payment ordered online,bills
doctor consult,health
Home Centre - floor cleaner and mop,home
mumma grocery - College Fee - college fee payment,education
ott subscription rental,entertainment
bus tickt to city paid for,travel
loan EMI deduction,bills
Lifestyle online,shopping
BSNL electricity bill,utilities
bank transfer to friend - Rs 50,finance
fruits and veg purchase at Spencer's,groceries
flight ticket to delhi,travel
concert ticket booking,entertainment
new bedsheet purchase from Ikea,home
loan EMI deduction,bills
mumma grocery - internet recharge via Water Supply,utilities
Flipkart - tempered glass screen protector,electronics
doctor consult - fever,health
"bread, butter, cereal from Grofers got it during sale",groceries
wallet topup Paytm Wallet,finance
late fee payment - Rs 100,bills
college fee payment,education
bank transfer to friend,finance
perfume Nykaa purchased from nearby store,personal_care
bank transfer to friend purchased from nearby store,finance
kitchen utensils from Home Centre,home
Water Supply electricity bill bought because needed,utilities
bread,groceries
HP Petrolpump - bike service at HP Petrolpump,auto
Steam - ott subscription rental,entertainment
Healthcare Clinic - lab test at Healthcare Clinic - Rs 249,health
flight ticket to delhi bought for home use,travel
internet recharge via Water Supply,utilities
salary credited - ACME Corp bought for home use - Rs 100,salary
bus ticket to city paid for,travel
"Grofers - bread, butter, cereal from Grofers",groceries
Bank Transfer - upi payment,finance
train booking via IRCTC bought for home use,travel
ott subscription rental,entertainment
bought T,shopping
bus ticket to city got it during sale,travel
upi payment got it during sale,finance
kitchen utensils from Local Home Store got it during sale,home
maintenance charges for flat,bills
DMart - fruits and veg purchase at DMart,groceries
City Hospital - paracetamol and vitamins,health
Cafe Coffee Day order - burger and fries got it during sale,food
Local Mall - sneakers purchase ordered online,shopping
wallet topup Bank Transfer,finance
loan EMI deduction,bills
Sephora - anti ageing serum purchase - Rs 999,personal_care
late fee payment,bills
KFC order - Rs 499,food
new backpack from Zara bought for home use,shopping
monthly groceries from Big Bazaar,groceries
lab test at City Hospital,health
Flipkart purchase - Rs 150,electronics
breakfast - paratha and chai paid for,food
ott subscription rental,entertainment
Shell Fuel,auto
kitchen utensils from Ikea,home
flight ticket to delhi purchased from nearby store,travel
upi payment,finance
ott subscription rental,entertainment
anti ageing serum purchase bought because needed,personal_care
fruits and veg purchase at Spencer's,groceries
dinner at KFC with friends,food
maintenance charges for flat paid for - Rs 299,bills
perfume Sephora,personal_care
Bikeman Garage - petrol full tank,auto
college fee payment,education
Pizza Hut - late night snack from Pizza Hut,food
YouTube Premium monthly subscription,subscription
Spotify annual plan - Rs 150,subscription
emi deducted - exam form fee paid for,education
Lifestyle - new backpack from Lifestyle,shopping
flight ticket to delhi ordered online,travel
Swiggy - pizza for dinner bought for home use,food
Local Dhabha order - burger and fries paid for,food
college canteen maggi - Spotify - Spotify annual plan,subscription
bike service at Bikeman Garage purchased from nearby store - Rs 199,auto
apartment rent monthly bought for home use,rent
concert ticket booking bought for home use,entertainment
recharge jio - Jio electricity bill,utilities
doctor consult,health
Udemy - python course,education
perfume Local Pharmacy,personal_care
invoice paid - Upwork,salary
Home Centre - floor cleaner and mop,home
monthly grosary from big bazaar,groceries
game purchase on Steam got it during sale - Rs 199,entertainment
Loan EMI - credit card repayment,bills
"DMart - bread, butter, cereal from DMart - Rs 199",groceries
Local Home Store - floor cleaner and mop,home
car wash and cleaning,auto
game purchase on PVR bought for home use,entertainment
Flower Store - birthday gift for friend,gifts
wallet topup Paytm Wallet bought because needed,finance
stationery purchase at College Fee bought for home use,education
Reliance Fresh,groceries
"Spencer's - milk, eggs, vegetables",groceries
Stationery Shop - college fee payment,education
engine oil change at Bikeman Garage,auto
credit card repayment,bills
flight ticket to delhi bought because needed,travel
ordered power bank from Mi Store,electronics
Play Store - concert ticket booking - Rs 50,entertainment
engine oil change at Bikeman Garage got it during sale - Rs 150,auto
Home Centre - new bedsheet purchase from Home Centre,home
bought T-shirt from Lifestyle paid for,shopping
Play Store - Play Store movie ticket,entertainment
Amazon Prime - Amazon Prime annual plan,subscription
fruits and veg purchase at Big Bazaar,groceries
bought T,shopping
got cashback from paytm - Uber ride to airport bought for home use - Rs 199,travel
netflix monthly subscriptn bought for home use,subscription
breakfast - paratha and chai,food
lab test at Practo got it during sale,health
birthday gift for friend got it during sale,gifts
home decor items ordered online,home
monthly groceries from Spencer's ordered online,groceries
train booking via IRCTC,travel
fruits and veg purchase at Spencer's - Rs 249,groceries
birthday gift for friend,gifts
renewed subscription,subscription
college fee payment,education
late fee payment,bills
new bedsheet purchase from Home Centre ordered online,home
Water Supply electricity bill,utilities
bank transfer to friend - Rs 199,finance
maintenance charges for flat bought for home use,bills
NEFT received purchased from nearby store,finance
"Big Bazaar - bread, butter, cereal from Big Bazaar - Rs 150",groceries
new bedsheet purchase from Ikea,home
Flipkart purchase - bluetooth headphone got it during sale,electronics
college canteen maggi - fruits and veg purchase at Reliance Fresh,groceries
Local Mall - sneakers purchase,shopping
new backpack from Zara ordered online - Rs 1200,shopping
face wash and moisturizer from Local Pharmacy,personal_care
wallet topup NEFT - Rs 100,finance
gave tip to bhaiya - perfume Nykaa,personal_care
late fee payment bought for home use,bills
anniversary gift shopping,gifts
kitchen utensils from Home Centre,home
ordered power bank from Amazon purchased from nearby store,electronics
TataCliq purchase - bluetooth headphone,electronics
bought T-shirt from Ajio bought for home use,shopping
Jio - mobile postpaid bill Jio - Rs 249,utilities
internet recharge via Electricity Board,utilities
bike service at Shell Fuel bought for home use - Rs 1200,auto
Amazon,electronics
TataCliq,electronics
car wash and cleaning,auto
Ajio - new backpack from Ajio,shopping
exam form fee,education
exam form fee - Rs 50,education
credit card repayment,bills
bus ticket to city purchased from nearby store,travel
netflix - netflix monthly subscrption - Rs 249,subscription
anniversary gift shopping paid for,gifts
Food Stall,food
concert ticket booking,entertainment
car wash and cleaning bought for home use,auto
anniversary gift shopping,gifts
Amazon - tempered glass screen protector purchased from nearby store,electronics
Jio - internet recharge via Jio,utilities
Local Dhabha - pizza for dinner paid for - Rs 150,food
security deposit for rent,rent
BSNL - internet recharge via BSNL - Rs 299,utilities
upi payment,finance
Steam - game purchase on Steam,entertainment
Ajio - sneakers purchase,shopping
bought flowers from Flower Store ordered online,gifts
engine oil change at Shell Fuel,auto
Local Dhabha - dinner at Local Dhabha with friends,food
Ajio,shopping
fruits and veg purchase at Spencer's,groceries
dinner at Cafe Coffee Day with friends,food
PhonePe - upi payment,finance
new backpack from Zara got it during sale,shopping
face wash and moisturizer from Beauty Store,personal_care
college canteen maggi - Swiggy order - burger and fries,food
monthly groceries from Spencer's,groceries
Local Dhabha,food
train booking via IRCTC paid for,travel
Stationery Shop - college fee payment,education
Samsung Shop,electronics
monthly groceries from Big Bazaar paid for,groceries
renewed subscription,subscription
bike service at Bikeman Garage,auto
Stationery Shop - college fee payment,education
bought T-shirt from H&M,shopping
Freelance Payment - bonus credited,salary
college fee payment got it during sale,education
flight ticket to delhi bought for home use,travel
Mi Store - tempered glass screen protector paid for,electronics
face wash and moisturizer from Local Pharmacy,personal_care
pharmacy - antibiotics bought for home use,health
bank transfer to friend purchased from nearby store,finance
mumma grocery - Myntra,shopping
mobile postpaid bill Electricity Board,utilities
Samsung Shop - USB-C cable,electronics
Netflix monthly subscription got it during sale,subscription
doctor consult - fever,health
ott subscription rental,entertainment
lab test at Apollo Pharmacy,health
Mi Store purchase - bluetooth headphone bought for home use,electronics
invoice paid - Upwork,salary
membership renewal Spotify bought for home use - Rs 100,subscription
Beauty Store,personal_care
Water Supply electricity bill ordered online,utilities
face wash and moisturizer from Local Pharmacy,personal_care
NEFT received - Rs 100,finance
dinner at KFC with friends bought for home use,food
Netflix annual plan,subscription
bought flowers from Flower Store bought for home use,gifts
College Fee - python course,education
lab test at City Hospital ordered online,health
ACME Corp Salary - freelance payment client xyz,salary
Water Supply electricity bill ordered online,utilities
home decor items,home
took ola share - NEFT received,finance
Gift Shop - gift box chocolates,gifts
salary credited - ACME Corp purchased from nearby store,salary
membership renewal Spotify got it during sale,subscription
Local Mall online - summer dress purchased from nearby store,shopping
Grofers,groceries
anti ageing serum purchase,personal_care
gave tip to bhaiya - train booking via IRCTC ordered online,travel
water bill payment ordered online,utilities
DMart,groceries
Home Centre - floor cleaner and mop,home
Steam movie ticket bought for home use,entertainment
BSNL - internet recharge via BSNL,utilities
mobile postpaid bill BSNL,utilities
Ajio online - summer dress,shopping
bread,groceries
Play Store - concert ticket booking,entertainment
car wash and cleaning,auto
Amazon - USB-C cable bought for home use,electronics
exam form fee bought for home use,education
Amazon - tempered glass screen protector,electronics
NEFT received bought for home use,finance
bread,groceries
McDonald's,food
new bedsheet purchase from Ikea purchased from nearby store,home
bought flowers from Flower Store,gifts
late fee payment - Rs 249,bills
got cashback from paytm - perfume Nykaa,personal_care
Spencer's,groceries
rent payment to landlord,rent
Samsung Shop - tempered glass screen protector,electronics
ott subscription rental purchased from nearby store,entertainment
mobile postpaid bill BSNL,utilities
bonus credited,salary
IRCTC - bus ticket to city,travel
stationery purchase at Stationery Shop,education
concert ticket booking,entertainment
MedPlus - paracetamol and vitamins,health
bus ticket to city - Rs 100,travel
maintenance charges for flat bought for home use,bills
dmart - monthly grosary from dmart,groceries
Paytm Wallet - wallet topup Paytm Wallet,finance
anti ageing serum purchase - Rs 999,personal_care
Maintenance - maintenance charges for flat,bills
stationery purchase at Udemy ordered online,education
doctor consult - fever ordered online,health
apartment rent monthly bought because needed,rent
Jio - water bill payment,utilities
Netflix monthly subscription,subscription
invoice paid,salary
local pharmacy - sunskreen spf 50 ordered online,personal_care
upi payment,finance
play store movie tickt got it during sale,entertainment
internet recharge via Electricity Board,utilities
fruits and veg purchase at DMart - Rs 100,groceries
Netflix - membership renewal Netflix - Rs 499,subscription
late fee payment paid for,bills
doctor consult,health
Reliance Digital - USB-C cable,electronics
upi payment,finance
House Rent - rent payment to landlord,rent
face wash and moisturizer from Beauty Store,personal_care
got cashback from paytm - dinner at Local Dhabha with friends,food
home decor items,home
Electricity Board electricity bill,utilities
flight tkt to delhi ordered online,travel
Local Pharmacy,personal_care
Ola - Ola ride to airport,travel
Croma - tempered glass screen protector - Rs 249,electronics
mumma grocery - fruits and veg purchase at Grofers,groceries
freelance payment client xyz,salary
ott subscription rental,entertainment
water bill payment ordered online,utilities
bought T - Rs 50,shopping
college fee payment,education
internet recharge via BSNL,utilities
Electricity Board electricity bill bought for home use,utilities
Loan EMI - late fee payment,bills
kitchen utensils from Local Home Store,home
Coursera - python course ordered online - Rs 50,education
lab test at City Hospital - Rs 50,health
Croma,electronics
lab test at MedPlus,health
monthly groceries from DMart purchased from nearby store,groceries
bhai petrol bharwaya - late fee payment,bills
Play Store - Play Store movie ticket,entertainment
Reliance Digital - USB-C cable paid for - Rs 249,electronics
fruits and veg purchase at Reliance Fresh,groceries
Local Kirana - fruits and veg purchase at Local Kirana,groceries
dinner at Cafe Coffee Day with friends,food
Flipkart - ordered power bank from Flipkart,electronics
ott subscription rental,entertainment
anniversary gift shopping,gifts
flight ticket to delhi,travel
lab test at MedPlus,health
freelance payment client xyz paid for,salary
Ikea - floor cleaner and mop,home
renewed subscription,subscription
College Fee - college fee payment,education
IndiGo - train booking via IRCTC,travel
Lifestyle online - summer dress,shopping
dinner at Dominos with friends,food
Loan EMI - late fee payment,bills
bought T,shopping
college fee payment got it during sale,education
dinner at Zomato with friends,food
MedPlus,health
pharmacy - antibiotics,health
MedPlus - paracetamol and vitamins - Rs 50,health
Reliance Digital - tempered glass screen protector - Rs 100,electronics
wallet topup Paytm Wallet bought because needed,finance
Godrej Gift - anniversary gift shopping - Rs 299,gifts
took ola share - credit card repayment,bills
home decor items,home
bought T-shirt from Ajio ordered online,shopping
Flower Store - birthday gift for friend,gifts
freelance payment client xyz - Rs 249,salary
face wash and moisturizer from Local Pharmacy purchased from nearby store,personal_care
Food Stall order,food
NEFT - NEFT received,finance
college canteen maggi - Food Stall,food
Stationery Shop - python course paid for - Rs 150,education
perfume Nykaa got it during sale,personal_care
Udemy - exam form fee,education
breakfast,food
bought flowers from Gift Shop,gifts
bought T,shopping
late fee payment bought for home use,bills
Home Centre - home decor items,home
wallet topup Paytm Wallet paid for,finance
car wash and cleaning got it during sale,auto
car wash and cleaning,auto
anti ageing serum purchase,personal_care
Amazon Prime monthly subscription,subscription
mumma grocery - internet recharge via Jio - Rs 199,utilities
apartment rent monthly,rent
YouTube Premium - YouTube Premium monthly subscription,subscription
new bedsheet purchase from Ikea,home
ordered power bank from Amazon,electronics
flight ticket to delhi,travel
recharge jio - Local Home Store - floor cleaner and mop,home
Amazon Prime annual plan paid for,subscription
monthly groceries from Local Kirana,groceries
pharmacy - antibiotics,health
Zara online - summer dress bought for home use,shopping
Electricity Board - internet recharge via Electricity Board,utilities
internet recharge via Jio,utilities
birthday gift for friend,gifts
Uber ride to airport,travel
internet recharge via BSNL ordered online,utilities
pharmacy - antibiotics got it during sale,health
internet recharge via Jio,utilities
college fee payment,education
Flower Store - birthday gift for friend - Rs 150,gifts
monthly groceries from Spencer's got it during sale,groceries
monthly groceries from Big Bazaar ordered online,groceries
HP Petrolpump - petrol full tank,auto
engine oil change at Shell Fuel got it during sale,auto
H&M,shopping
Local Mall - sneakers purchase bought for home use,shopping
water bill payment,utilities
wallet topup NEFT,finance
bike service at HP Petrolpump,auto
train booking via IRCTC,travel
NEFT - wallet topup NEFT,finance
breakfast - paratha and chai bought because needed,food
bike service at HP Petrolpump,auto
got cashback from paytm - bike service at Car Service Center,auto
face wash and moisturizer from Beauty Store - Rs 1200,personal_care
Spotify monthly subscription,subscription
engine oil change at Bikeman Garage,auto
kitchen utensils from Local Home Store - Rs 499,home
college fee payment bought for home use,education
emi deducted - BSNL electricity bill - Rs 100,utilities
emi deducted - stationery purchase at Stationery Shop,education
flight ticket to delhi,travel
ordered power bank from Croma ordered online,electronics
concert ticket booking,entertainment
NEFT received,finance
Nykaa - face wash and moisturizer from Nykaa,personal_care
bought T-shirt from Zara,shopping
bike service at HP Petrolpump - Rs 199,auto
stationery purchase at College Fee - Rs 249,education
Croma purchase - bluetooth headphone,electronics
lab test at Healthcare Clinic,health
bought T,shopping
ordered power bank from Mi Store,electronics
house rent for september,rent
renewed subscription,subscription
ott subscription rental,entertainment
train booking via IRCTC,travel
Ajio,shopping
Shell Fuel,auto
Water Supply - internet recharge via Water Supply,utilities
Swiggy,food
new backpack from Myntra purchased from nearby store,shopping
college fee payment,education
Paytm Wallet - NEFT received,finance
KFC,food
"Local Kirana - milk, eggs, vegetables",groceries
BookMyShow movie ticket,entertainment
breakfast - Rs 249,food
loan EMI deduction,bills
Coursera,education
college fee payment purchased from nearby store,education
Sephora - anti ageing serum purchase,personal_care
bike service at Car Service Center purchased from nearby store,auto
apartment rent monthly,rent
Dominos order - Rs 499,food
MedPlus - Rs 100,health
apartment rent monthly bought because needed,rent
bank transfer to friend,finance
paid bhaiya for delivery - membership renewal Spotify,subscription
wallet topup Bank Transfer bought for home use - Rs 150,finance
wallet topup NEFT,finance
H&M - sneakers purchase bought for home use,shopping
bus ticket to city ordered online - Rs 999,travel
apartment rent monthly,rent
Electricity Board electricity bill,utilities
renewed subscription,subscription
Food Stall order - burger and fries ordered online - Rs 299,food
Bikeman Garage - petrol full tank bought for home use,auto
Amazon Prime - Amazon Prime monthly subscription,subscription
train booking via IRCTC,travel
wallet topup Bank Transfer bought for home use,finance
exam form fee bought for home use,education
Nykaa,personal_care
kitchen utensils from Local Home Store,home
refund from amazon - Amazon Prime annual plan,subscription
bike service at Car Service Center,auto
perfume Beauty Store bought because needed,personal_care
ordered power bank from Samsung Shop,electronics
bought T-shirt from Zara,shopping
NEFT received,finance
YouTube Premium annual plan bought because needed,subscription
Spotify annual plan,subscription
Cleartrip - Cleartrip ride to airport,travel
new bedsheet purchase from Local Home Store,home
Apollo Pharmacy - paracetamol and vitamins paid for,health
late night snack from Cafe Coffee Day purchased from nearby store,food
breakfast,food
mumma grocery - maintenance charges for flat,bills
NEFT received,finance
Car Service Center - petrol full tank,auto
renewed subscription - YouTube Premium ordered online - Rs 199,subscription
car wash and cleaning,auto
new backpack from Zara,shopping
salary credited - ACME Corp,salary
Zara online,shopping
NEFT received ordered online,finance
upi payment got it during sale,finance
exam form fee ordered online,education
engine oil change at Bikeman Garage ordered online,auto
dinner at Swiggy with friends - Rs 1200,food
train booking via IRCTC,travel
gift box chocolates,gifts
kitchen utensils from Local Home Store,home
Local Pharmacy - sunscreen spf 50 bought for home use,personal_care
new backpack from Local Mall,shopping
kitchen utensils from Home Centre,home
anniversary gift shopping bought because needed,gifts
loan EMI deduction ordered online,bills
Steam - game purchase on Steam,entertainment
Croma purchase - bluetooth headphone,electronics
Stationery Shop - exam form fee,education
late fee payment bought for home use - Rs 100,bills
MakeMyTrip - bus ticket to city,travel
anti ageing serum purchase,personal_care
face wash and moisturizer from Sephora,personal_care
breakfast,food
credit card repayment,bills
bought flowers from Gift Shop,gifts
PVR - concert ticket booking,entertainment
anti ageing serum purchase,personal_care
Home Centre - kitchen utensils from Home Centre,home
pharmacy,health
gift box chocolates,gifts
credit card repayment bought because needed,bills
Udemy - python course purchased from nearby store,education
perfume Local Pharmacy,personal_care
PhonePe - upi payment,finance
exam form fee bought because needed,education
"Spencer's - bread, butter, cereal from Spencer's - Rs 249",groceries
anti ageing serum purchase,personal_care
Swiggy - dinner at Swiggy with friends,food
engine oil change at HP Petrolpump purchased from nearby store,auto
engine oil change at Shell Fuel,auto
anniversary gift shopping,gifts
birthday gift for friend,gifts
Ikea - floor cleaner and mop ordered online - Rs 999,home
Shell Fuel - petrol full tank ordered online,auto
house rent for september got it during sale,rent
monthly groceries from Reliance Fresh,groceries
Samsung Shop,electronics
Zara online - summer dress paid for,shopping
rent payment to landlord,rent
Reliance Fresh,groceries
Bikeman Garage - petrol full tank ordered online,auto
perfume Nykaa,personal_care
Amazon - tempered glass screen protector,electronics
NEFT received,finance
Flower Store - anniversary gift shopping,gifts
bought flowers from Flower Store,gifts
IRCTC ride to airport,travel
bread,groceries
Stationery Shop - python course bought for home use - Rs 50,education
Local Home Store - floor cleaner and mop purchased from nearby store,home
bought flowers from Gift Shop,gifts
Bikeman Garage - petrol full tank bought for home use,auto
membership renewal YouTube Premium bought because needed - Rs 299,subscription
membership renewal Spotify,subscription
Car Service Center,auto
college fee payment bought because needed,education
"Big Bazaar - milk, eggs, vegetables",groceries
new backpack from Ajio,shopping
got cashback from paytm - Lifestyle - Rs 999,shopping
Uber ride to airport,travel
College Fee - exam form fee,education
face wash and moisturizer from Beauty Store,personal_care
MedPlus - lab test at MedPlus,health
H&M online - summer dress,shopping
"bread, butter, cereal from Nature's Basket bought for home use",groceries
bought T-shirt from Myntra,shopping
Netflix monthly subscription,subscription
Zara online - summer dress,shopping
Coursera - python course got it during sale,education
fruits and veg purchase at DMart purchased from nearby store - Rs 100,groceries
Home Centre - floor cleaner and mop,home
train booking via IRCTC,travel
security deposit for rent,rent
HP Petrolpump,auto
anniversary gift shopping purchased from nearby store,gifts
Amazon - USB-C cable,electronics
freelance payment client xyz bought because needed,salary
Jio electricity bill purchased from nearby store,utilities
mumma grocery - anti ageing serum purchase,personal_care
anti ageing serum purchase,personal_care
Credit Card Payment - late fee payment - Rs 50,bills
gift box chocolates bought for home use,gifts
Amazon Prime - Amazon Prime annual plan,subscription
perfume Sephora,personal_care
maintenance charges for flat bought because needed,bills
Samsung Shop - ordered power bank from Samsung Shop - Rs 299,electronics
Zara - sneakers purchase got it during sale,shopping
Croma - Rs 249,electronics
concert ticket booking bought for home use,entertainment
upi payment,finance
Godrej Gift - gift box chocolates,gifts
bhai petrol bharwaya - H&M online - summer dress purchased from nearby store,shopping
YouTube Premium monthly subscription,subscription
Practo - Rs 199,health
gift box chocolates ordered online,gifts
internet recharge via Electricity Board bought for home use,utilities
Home Centre,home
bought flowers from Flower Store bought because needed,gifts
upi payment bought because needed,finance
bike srvice at shell fuel,auto
mumma grocery - late night snack from KFC,food
Flower Store - anniversary gift shopping,gifts
Dominos - dinner at Dominos with friends,food
face wash and moisturizer from Sephora,personal_care
freelance payment client xyz bought because needed,salary
late fee payment,bills
Ikea - floor cleaner and mop,home
NEFT received - Rs 499,finance
late fee payment,bills
Netflix - Netflix annual plan,subscription
Jio - internet recharge via Jio,utilities
bought T,shopping
DMart,groceries
perfume Local Pharmacy,personal_care
freelance payment client xyz,salary
bought flowers from Flower Store,gifts
stationery purchase at Coursera got it during sale,education
got cashback from paytm - concert ticket booking - Rs 199,entertainment
fruits and veg purchase at DMart paid for,groceries
bank transfer to friend,finance
Coursera - college fee payment,education
apartment rent monthly,rent
freelance payment client xyz,salary
lab test at Apollo Pharmacy,health
wallet topup NEFT ordered online,finance
train booking via IRCTC,travel
upi payment,finance
bus tickt to city,travel
fruits and veg purchase at Spencer's,groceries
bike service at Shell Fuel,auto
doctor consult - fever purchased from nearby store,health
